Input,Output
0.004822,-0.305481
-0.365417,0.289764
-0.237427,0.710114
0.190002,0.051910
0.211060,-0.282990
0.188782,0.259949
0.070801,0.194092
-0.177490,0.392029
0.257782,0.220856
0.502258,0.249695
0.663849,0.347321
0.218262,0.220398
0.309662,0.301361
0.538269,0.263153
0.830109,0.360870
0.309998,0.231262
0.479279,0.324799
0.578033,0.268463
0.708282,0.353851
0.783112,0.300354
0.444458,0.329102
0.242767,0.228027
0.239838,0.292145
0.412506,0.248871
0.690674,0.347107
0.455597,0.248840
0.189636,0.293854
-0.224426,0.271698
0.070953,0.261139
0.331085,0.240265
0.116058,0.275482
-0.232666,0.272858
-0.527710,0.427795
-0.220520,0.831726
-0.281128,0.140106
-0.191681,-0.167816
-0.834473,0.354950
-0.625183,0.579010
-0.537506,0.368561
-0.210999,0.081451
-0.642090,-0.348419
-0.302643,-0.048187
-0.864777,0.349091
-0.224060,0.717651
-0.248657,0.157623
0.047119,-0.300293
-0.252869,0.303925
-0.632782,0.576538
-0.119965,0.506683
-0.111298,-0.188843
0.034668,-0.172272
-0.304932,0.557068
-0.108185,0.508362
